Date,Startup Name,Vertical,Sub-Vertical,City,Investor,Type,Amount (in USD),Remarks
29/07/2015,Zovi.com / Little App,Hyperlocal Deals Marketplace,,Bangalore,"Paytm, SAIF Partners, Tiger Global Management & others",Private Equity,"50,000,000",Series A
29/07/2015,Swajal,Innovative Water Solutions,,Gurgaon,Abhishek Gupta,Private Equity,"1,200,000",Series A
30/07/2015,Pipa Bella,Online Jewelry Store,,Mumbai,LionRock Capital,Private Equity,"600,000",Pre-Series A
30/07/2015,Pragmatix,Business intelligence & Analytics,,Mumbai,SIDBI Venture Capital Ltd,Private Equity,"2,400,000",Series A
30/07/2015,Droom.in,Used Vehicle Marketplace,,New Delhi,"Lightbox Ventures, Beenos",Private Equity,"16,000,000",Series A
30/07/2015,MadRat Games,Educational Board Games,,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,"168,000",
30/07/2015,Noodle Play,Chinese food delivery,,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,"168,000",
30/07/2015,Wassup,On-Demand Laundry & Dry cleaning App,,Chennai,B S Nagesh,Private Equity,N/A,Pre-Series A
30/07/2015,Cartisan,On-Demand Car services App,,Bangalore,"YouWeCan Ventures, Aprameya Radhakrishna",Seed Funding,N/A,
31/07/2015,LazyLad,Hyperlocal Grocery App,,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,"500,000",pre-Series A
31/07/2015,TripFactory,Online Curated Holiday package bookings,,Bangalore,"Aarin Capital Partners,",Private Equity,N/A,Series A
31/07/2015,Prothom,Hasbro Toy Manufacturer,,Pune,Oliphabs Capital,Private Equity,"2,000,000",Series A
31/07/2015,Bona Vita,Travel Tech,,Gurgaon,MakeMyTrip,Private Equity,"5,000,000",Strategic Investment
01/08/2015,Snapdeal,Ecommerce Marketplace,,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,"500,000,000",Late Stage Round 7th (More details)
01/08/2015,Ressy,Restaurant Discount app,,Pune,Mohandas Pai & others,Seed Funding,"400,000",
03/08/2015,Cuelearn,Tech-enabled learning,,New Delhi,Alok Mittal,Seed Funding,N/A,
03/08/2015,Connect India,ECommerce Logistics provider,,New Delhi,Aavishkaar,Private Equity,"5,000,000",Series A
03/08/2015,The Home Salon,on-demand home beauty and wellness portal,,Mumbai,VentureNursery,Seed Funding,N/A,
03/08/2015,Jusride,Self Driven Car rental,,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,N/A,
03/08/2015,Oyorooms,Budget Hotel accommodation brand,,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital, Lightspeed India",Private Equity,"100,000,000",Series B
03/08/2015,Glowship,Energy & Environment Online Marketplace,,Bangalore,Infuse Ventures,Seed Funding,N/A,
03/08/2015,Wizrocket,User Engagment & Analytics platform,,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,"9,600,000",Series B
04/08/2015,Pickingo,On-Demand Delivery Logistics,,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,"1,300,000",Series A
05/08/2015,Grex,fund raising platform for startups,,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,"650,000",
05/08/2015,LetsTransport,Logistics Tech Platform,,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,"1,300,000",
05/08/2015,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,"30,000,000",Series A
05/08/2015,Doormint,Hyperlocal Handyman services,,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,"3,000,000",Series A
05/08/2015,NightStay,hotel booking app,,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,"500,000",
05/08/2015,Zocalo,Rental Accomodation finder,,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,N/A,
05/08/2015,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,"785,000",
06/08/2015,Klozee,Luxury Apparel rental,,Bangalore,Tracxn Labs,Seed Funding,N/A,
06/08/2015,Appvigil,App security testing platform,,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,"500,000",pre Series-A
06/08/2015,practo,Doctor Appointment booking app,,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,"90,000,000",Series C
06/08/2015,LoudShout,anonymous bulletin board app,,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,N/A,
06/08/2015,Wetravelsolo,Travel community platform,,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,N/A,
06/08/2015,Ketto,Crowd funding platform,,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,"700,000",
06/08/2015,Ezetap,Mobile based PoS solution,,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,"25,000,000",Series C
06/08/2015,NDTV ecommerce venture,Car & Bike ecommerce platform,,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,N/A,Series A
07/08/2015,Carls Jr,Fast food Chain Franchisee,,Gurgaon,YouWeCan Ventures,Seed Funding,"630,000",
07/08/2015,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,"500,000",Pre-Series A
07/08/2015,GIBSS,Energy saving solutions provider,,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,N/A,Series A
07/08/2015,StoreMore.in,Self-Storage Spaces,,Noida,Bedrock Ventures,Seed Funding,N/A,
07/08/2015,iOrderFresh,Grocery retail Mobile app,,New Delhi,Best Foodworks,Seed Funding,N/A,
10/08/2015,MyTaxiIndia,Taxi Rental platform,,Gurgaon,"Nihon Kotsu,",Private Equity,"500,000",Pre Series-A
10/08/2015,eSadar,ecommerce,,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,"80,000",
10/08/2015,Actionable Analytics,Machine Learning Platform,,New Delhi/ Houston,"B M Gupta, Vinod Singhal",Seed Funding,N/A,
10/08/2015,MyPoolin,mobile social network,,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,"250,000",QPrize Contest Winners
10/08/2015,NearBuy (previously groupon India),Hyper-Local Ecommerce,,New Delhi,Sequoia Capital,Private Equity,"16,000,000",Series A
10/08/2015,Inkmonk,Online printing marketplace,,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,"250,000",
10/08/2015,ToneTag,mobile payment software platform,,Bangalore,Reliance Capital Venture,Private Equity,"1,000,000",Series A
10/08/2015,Grey Orange,Automated Storage & Warehousing Solution,,Gurgaon,Tiger Global Management,Private Equity,"30,000,000",Series B
11/08/2015,Livspace,Home Design & Dcor solutions,,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,"8,000,000",Series A
11/08/2015,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,Indian Angel Network,Seed Funding,"1,600,000",
11/08/2015,RainCan,Subscription based Online Grocery platform,,Pune,Ajeet Khurana & Others,Seed Funding,"100,000",
11/08/2015,Allygrow Technologies,engineering services company,,Mumbai,Zodius Technology Fund,Private Equity,"20,000,000",Series A
11/08/2015,Infogain,Business and IT consulting,,New Delhi / US,ChrysCapital,Private Equity,"63,000,000",N/A
12/08/2015,OneAssist,Credit Card Fraud protection solutions,,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,"7,500,000",Series B
12/08/2015,BigBasket,Online & mobile Grocery store,,Bangalore,Bessemer Venture Partners,Private Equity,"50,000,000",Series C
12/08/2015,Sheroes,Career Community for Women,,Noida,"Quintillion Media, 500 Startups",Seed Funding,"770,000",
12/08/2015,Scripbox,Mutual Fund Investing platform,,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,"2,500,000",Series A
13/08/2015,betaout,Ecommerce Marketing Software Platform,,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham & Group of other Angel investors",Seed Funding,"500,000",
13/08/2015,IFMR Holdings,Financial Inclusion platform,,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,"25,000,000",Series B
13/08/2015,Massblurb,Digital Marketing automation solution,,Mumbai,"LetsVenture, Mumbai Angels",Seed Funding,N/A,
13/08/2015,Agrostar,Mobile Commerce for Farmers,,Pune,IDG Ventures,Private Equity,"4,000,000",Series A
14/08/2015,VoxWeb,Picture based Social App,,Mumbai,Jitendra Gupta & others,Seed Funding,"100,000",
14/08/2015,Trukky,Logistics service platform,,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,"245,000",
14/08/2015,VanityCube,On-Demand Beauty Services,,New Delhi,Group of angel investors,Seed Funding,N/A,
17/08/2015,Edu4Share,Exam Preparation Platform,,New Delhi,Nalin Jain & other angel investors,Seed Funding,"220,000",
17/08/2015,YourStory,Startup Focused Online Publisher,,Mumbai,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay",Seed Funding,N/A,
17/08/2015,Sampurnearth,Waste Management Solutions,,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,"160,000",
17/08/2015,Orobind,App based Fitness coaching,,Bangalore,Existing & New Investors,Private Equity,N/A,pre series A
17/08/2015,Fixy,On demand cleaning & fixing services,,Mumbai,VentureNursery,Seed Funding,N/A,
17/08/2015,MSM Box,Beauty & Lifestyle platform,,New Delhi,Rohit Goel,Seed Funding,N/A,
17/08/2015,ShadowFax,on-demand delivery service,,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,"310,000",
17/08/2015,Gadgets 360,Car & Bike ecommerce platform,,New Delhi,One97 Communications,Private Equity,N/A,Strategic Investment
18/08/2015,Roposo,Fashion Discovery platform,,Gurgaon,Tiger Global,Private Equity,"15,000,000",Series B
18/08/2015,IntelligenceNODE,Data Analytics Platform,,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,"4,200,000",Series A
18/08/2015,HyperVerge,Deep Learning Cloud Algorithms,,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding,"1,000,000",
18/08/2015,Twyst,Location based engagement & rewards platform,,Gurgaon,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal",Seed Funding,N/A,
18/08/2015,IDfy,Online Identity Verification Services platform,,Mumbai,"NEA, Blume Ventures & others",Private Equity,N/A,Series A
18/08/2015,Zoojoo.be,Corporate Wellness App,,Bangalore,RoundGlass Partners,Private Equity,"1,000,000",Series A
19/08/2015,Fashionove,Fashion Search & Review Platform,,Kolkata,Umesh Yadav,Seed Funding,N/A,
19/08/2015,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",,Mumbai,Unilazer Ventures,Private Equity,"2,400,000",
19/08/2015,Envoged,pre-owned Luxury online apparel seller,,Mumbai,"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar",Seed Funding,N/A,
19/08/2015,MebelKart,Online Furniture Marketplace,,Bangalore,AskMe,Private Equity,"20,000,000",
20/08/2015,LabsAdvisor,Online Diagnostic Tests Marketplace,,New Delhi,Group of Angel Investors,Seed Funding,"156,000",
20/08/2015,Flatpebble,Online marketplace for Photographers,,Hyderabad,Indian Angel Network,Seed Funding,"600,000",
20/08/2015,Bluegape.com,Visual Blogging platform,,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,"600,000",
21/08/2015,ePoise,Job Search Platform,,Bangalore,"Orios Venture Partners, Amit Ranjan & others",Seed Funding,"500,000",
24/08/2015,Jolly Food Fellow,Food Customer analytics platform,,Ahmedabad,The 1947,Seed Funding,"300,000",
24/08/2015,BookMeIn,Professional Service Appointment booking service,,Mumbai,Ajmera Group of Companies,Seed Funding,"400,000",
24/08/2015,iZofy,Scientific Horoscope Online Assistance platform,,Kolkata,Prime Capital Markets Ltd,Seed Funding,N/A,
24/08/2015,rBus,Tech enabled AC bus service,,Mumbai,"India Quotient, Anupam Mittal & others",Seed Funding,N/A,
25/08/2015,Qyk App,On-Demand App based Professional service provider,,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,"1,000,000",pre-series A
25/08/2015,EazyDiner,Restaurant Reservation Platform,,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,"3,000,000",Series A
25/08/2015,RevX,Cross-channel CRM platform,,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,"4,000,000",Series A
25/08/2015,ICustomMadeIt,Professional Custom creators Marketplace,,Pune,Group of Angel Investors,Seed Funding,"250,000",
26/08/2015,PickMyLaundry,on-Demand Washing & Dry-Cleaning,,New Delhi,GHV Accelerator,Seed Funding,"100,000",
26/08/2015,Belita,On-Demand Beauty Service,,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Seed Funding,"400,000",
26/08/2015,EzySolare,solar products and services marketplace,,Ahmedabad,Infuse Ventures,Seed Funding,N/A,
26/08/2015,FoodTalkIndia,Online Food Community Platform,,Gurgaon,Undisclosed Investor,Seed Funding,"500,000",
27/08/2015,InstaSafe,Private Cloud Networks SAAS platform,,Bangalore,Group of Investors,Seed Funding,N/A,
27/08/2015,Eazy Coach,Education Marketplace,,Kolkata,Ravi Agarwal,Seed Funding,N/A,
27/08/2015,Djubo.com,Cloud Based Hotel Sales Platform,,New Delhi,Ibibo Group,Private Equity,N/A,Strategic Investment
28/08/2015,BetterButter.in,online recipe sharing platform,,New Delhi,"Growx Ventures, Manish Singhal",Seed Funding,N/A,
28/08/2015,Vyomo,Beauty & Lifestyle Mobile Marketplace,,Bangalore,Rocket Internet,Private Equity,"2,000,000",Pre-Series A
28/08/2015,RollMafia,QSR Restaurant Chain,,Pune,Equentia Natural Resources,Seed Funding,"160,000",
29/08/2015,iamwire,Digital Media publishing platform,,Gurgaon,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal",Seed Funding,N/A,
31/08/2015,DropKaffe,Online Coffee Delivery platform,,Bangalore,"Manish Singhal, P39 Capital & Others",Seed Funding,"300,000",
31/08/2015,Reverie,Language Localization Cloud platform,,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,"4,000,000",Series A
31/08/2015,Infinite Analytics,Big Data & predictive Analysis Platform,,Mumbai,"Ratan Tata, Nikhil Vora & others",Private Equity,N/A,Bridge Round
01/09/2015,TOFlo,FinTech Startup Incubation platform,,Mumbai,Tania Johny Palathinkal,Seed Funding,"100,000",
01/09/2015,FXMartIndia,Payment Services platform,,Chandigarh,Flipkart,Private Equity,N/A,Strategic Investment (Majority Stake)
01/09/2015,Stylecracker,Personalized Styling platform,,Mumbai,Group of HNI investors,Private Equity,"1,000,000",Series A
01/09/2015,Luxuryhues,Luxury goods Shopping Platform,,Gurgaon,Reliance Capital,Private Equity,"900,000",Series A
02/09/2015,HolaChef,Food Delivery Platform,,Mumbai,Ratan Tata,Private Equity,N/A,Part of Series A raised in June 2015
02/09/2015,Zivame,Online Lingerie Marketplace,,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,"40,000,000",Series C
02/09/2015,Capillary Tech,Cloud software solutions,,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,"45,000,000",Series D
03/09/2015,Jobspire,Job Search Platform,,Bangalore,Purvi Capital,Seed Funding,"260,000",
03/09/2015,MeraDoctor,Doctor consultancy Mobile App,,Mumbai,India Quotient & other investors,Seed Funding,N/A,
03/09/2015,Vistaar Finance,Small Business Financing (NBFC),,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Private Equity,"40,000,000",
03/09/2015,HiJinny,Beauty & Wellness Services Marketplace,,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,N/A,
04/09/2015,Clapsnslaps,Online Movie Review Platform,,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,"150,000",
04/09/2015,Blubox,ECommerce Brands Full Service Agency,,Mumbai,Ashish Jhalani,Seed Funding,"100,000",
04/09/2015,RoomCentral,Cloud-based Hotel Booking Platform,,Bangalore,Karanpal Singh,Seed Funding,"2,000,000",
07/09/2015,YouthKiAwaaz,Community Driven News/Views Platform,,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,"600,000",
07/09/2015,Prozo,Study Material Marketplace,,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,"205,000",
07/09/2015,Zomato,Restaurant Ratings & Reviews platform,,Gurgaon,"Temasek, Vy Capital",Private Equity,"60,000,000",Late Stage
07/09/2015,Sahayog Dairy,Dairy Based Product Manufacturer,,Bhopal,Acumen Fund,Private Equity,"1,800,000",Series A
08/09/2015,MockBank,Government Test Preparation platform,,Bangalore,Blume Ventures,Seed Funding,"400,000",
08/09/2015,ReportBee,Smart Report Cards for Schools,,Chennai,India Educational Investment Fund,Seed Funding,N/A,
08/09/2015,GuruG Learning,Teacher empowerment platform,,Bangalore,India Educational Investment Fund,Seed Funding,N/A,
10/09/2015,OnlineTyari,Multilingual Test Preparation Platform,,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,"770,000",Series A
10/09/2015,IndustryBuying,Industrial Tools Marketplace,,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,"9,200,000",Series B
10/09/2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,"315,000",
11/09/2015,FitMeIn,Gym & Fitness Studios Subscription platform,,New Delhi,Green House Ventures,Seed Funding,"100,000",
11/09/2015,Envoged,pre-used luxury item Marketplace,,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,N/A,
11/09/2015,Zapyle,pre-used apparel shopping mobile app,,Bangalore,N/A,Seed Funding,"1,000,000",
11/09/2015,Renomania,Home Design & Dcor platform,,New Delhi,Subodh Gupta,Seed Funding,N/A,
12/09/2015,CredR,Used Vehicles Marketplace,,Mumbai,Eight Road Ventures,Private Equity,"15,000,000",Series A
12/09/2015,YatraGenie,Online Bus & Cab ticketing platform,,Hyderabad,Ash Bhardwaj,Private Equity,N/A,Series A
14/09/2015,CanvasFlip,Mobile App testing platform,,Hyderabad,Bessemer Venture Partners,Seed Funding,"1,200,000",
14/09/2015,Shadowfax,Hyperlocal Delivery Services,,Gurgaon,Eight Roads Ventures,Private Equity,"9,000,000",Series A
14/09/2015,UE Life Sciences,Early Cancer Detection Solutions,,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,"3,000,000",Series A
14/09/2015,Ola Cabs,Cab rental Mobile app,,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,"225,000,000",Late Stage
15/09/2015,Coverfox,Online Insurance Distribution Platform,,Mumbai,Cataraman Ventures,Private Equity,"2,000,000",Part of $12M Series B funding
15/09/2015,MoEngage,Mobile Marketing Automation Platform,,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,"4,250,000",Series A
15/09/2015,Mubble,Prepaid Mobile Bill Manager App,,Bangalore,Nandan Nilekani,Seed Funding,N/A,
15/09/2015,Tea Trails,Chain of Tea Cafs,,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,"1,000,000",
15/09/2015,Room on Call,Branded Budget Hotel Marketplace,,Noida,Payal Syal,Seed Funding,"300,000",
15/09/2015,FYNE,Home Fitting & Fixtures Marketplace,,Bangalore,Sandeep Dama & Others,Seed Funding,N/A,Pre-Series A
16/09/2015,ChaiPoint,Food Subscription platform,,Bangalore,Eight Roads Ventures,Private Equity,"10,000,000",Series A
16/09/2015,WedmeGood.com,Wedding Planning Platform,,Gurgaon,Indian Angel Network,Seed Funding,"410,000",
16/09/2015,XSTOK,B2B Mobile Auction Marketplace,,Mumbai,Oliphans Capital,Seed Funding,"450,000",
17/09/2015,UniLog,ECommerce Data Analytics Platform,,Bangalore,Kalaari Capital,Private Equity,N/A,
17/09/2015,Paintcollar,Designer Merchandize Marketplace,,Mumbai,Applyifi,Seed Funding,N/A,Bridge Funding
17/09/2015,YepMe,Private label Fashion eTailer,,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,"75,000,000",Series D
17/09/2015,Bueno,Online Food ordering & delivery,,Gurgaon,High Networth Individuals (No details),Seed Funding,"600,000",
18/09/2015,Plabro,Real Estate Broker Platform App,,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,"350,000",
18/09/2015,CureJoy,Online Health & Wellness platform,,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,"1,150,000",Pre-Series A
18/09/2015,Briston Technomach,Internet of Things platform,,New Delhi,Undisclosed,Seed Funding,"150,000",
18/09/2015,LabStreet,Diagnostic Labs aggregator platform,,Gurgaon,Multiple investors,Seed Funding,"150,000",
19/09/2015,DailyNinja,Hyperlocal Delivery Platform,,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,N/A,
21/09/2015,Portea Medical,Home Medical Care Services,,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,"37,500,000",
21/09/2015,Neotrade Analytics,Real-Time stock data platform,,Bangalore,Rainmatter,Seed Funding,"235,000",
21/09/2015,DishCo,Food discovery & table booking app,,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,N/A,
21/09/2015,LafaLafa,coupons and cashback aggregator app,,Mumbai,500 Startups,Seed Funding,"125,000",thru Accelerator
21/09/2015,ConnectAbank,Financial Products lead generation platform,,Mumbai,Prakhar Bumb,Seed Funding,N/A,
22/09/2015,VillFarm,Sustainable Agri-inputs Firm,,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,N/A,
22/09/2015,Bestdealfinance,Financial Services Portal,,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,"3,000,000",Series A
22/09/2015,GameXS.in,Pre-owned games Marketplace,,New Delhi,Lead Angels,Seed Funding,N/A,
22/09/2015,The Man Company,Content-based Subscription eCommerce platform,,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,N/A,
22/09/2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",,Bangalore,Swarnim Multiventures,Private Equity,"800,000",Pre-Series A
22/09/2015,Furdo,Online Interior Designing platform,,Bangalore,Bhavdeep Reddy,Seed Funding,"400,000",
22/09/2015,LogiNext,End-to-end Logistics platform,,Mumbai,Paytm,Private Equity,"10,000,000",Series A
22/09/2015,Korra,Private Label Apparel sales,,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,"300,000",
23/09/2015,Credihealth,Healthcare Consulting platform,,Gurgaon,Rajat Malhotra,Seed Funding,N/A,
23/09/2015,Amigobulls,Stock Market Portal,,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",Seed Funding,N/A,
23/09/2015,SilverPush,Cross-device retargeting platform,,Gurgaon / SFO,M&S Partners,Private Equity,"1,200,000",Series A
23/09/2015,Juggernaut,Digital & Physical Publishing platform,,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,"2,250,000",Series A
23/09/2015,InnerChef,Food Delivery Platform,,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,"1,750,000",pre-Series A
24/09/2015,Quintype,Data Driven Publishing platform,,Bangalore,Raghav Bahl,Private Equity,"3,300,000",
24/09/2015,Capabiliti,Employee OnBoarding & Orientation platform,,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,"400,000",
24/09/2015,Fourth Partner Energy,Solar Power Solutions company,,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,"2,000,000",Series A
24/09/2015,Licious,Online Meat Ordering platform,,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,"1,000,000",
25/09/2015,TravelKhana,online meal-booking platform for train travelers,,New Delhi,Astarc Ventures & Others,Seed Funding,N/A,Pre-Series A
28/09/2015,Quickli,hyperlocal delivery platform,,New Delhi,"500 Startups, Mato Peric & Others",Seed Funding,N/A,
28/09/2015,Ola Cabs,Cab Booking app platform,,Bangalore,Didi Kuaidi,Private Equity,"30,000,000",late Stage (part of $500M funding rnd)
29/09/2015,Paytm,E-Commerce & M-Commerce platform,,New Delhi,"Alibaba Group, Ant Financial",Private Equity,"680,000,000",Late Stage (Alibaba @ 40% equity)
29/09/2015,Inmobi,Mobile Advertising platform,,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,"100,000,000",Late Stage
29/09/2015,Peppertap,Hyperlocal Grocery Delivery,,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,"36,000,000",Series B
29/09/2015,Hugefly,Ecommerce Product recommendation platform,,Pune,Mayank Singhal and others,Seed Funding,N/A,
29/09/2015,Brigge,Activity Based Social Network,,Chennai,The Chennai Angels,Seed Funding,N/A,
29/09/2015,Zakoopi,Fashion Discovery platform,,New Delhi,Uniqorn Ventures,Seed Funding,"350,000",
29/09/2015,LoanCircle,Consumer lending marketplace,,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,N/A,
30/09/2015,Infoworks,Big Data Management Platform,,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,"5,000,000",
30/09/2015,RedDoorz,Budget Accommodation Platform,,Noida,Jungle Ventures,Seed Funding,"1,000,000",
30/09/2015,FirstTouch,Local Mobile OS,,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,N/A,Super angel round
30/09/2015,Eywa Media,Digital Signal processing platform,,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,"1,000,000",
01/10/2015,Indifi,Easy Business Loans platform,,Gurgaon,"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anandan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",Seed Funding,N/A,
01/10/2015,Wydr,Performance based Wholesale Marketplace,,New Delhi,Sandeep Aggarwal,Seed Funding,N/A,
01/10/2015,EasyFix,Professional Services Marketplace,,Gurgaon,Axilor Ventures,Seed Funding,N/A,
01/10/2015,Muvizz,Movie-on-demand platform,,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,"350,000",
01/10/2015,Abhibus,bus ticketing and fleet management platform,,Hyderabad,Paytm (One97 communications),Private Equity,N/A,Strategic Investment
01/10/2015,Cleartax,Online Income Tax Filing platform,,New Delhi,Paytm (One97 communications),Private Equity,N/A,N/A
02/10/2015,Shopalyst,Product discovery & recommendation platform,,Bangalore,Kalaari Capital,Private Equity,"2,000,000",Series A
03/10/2015,Chillr,Mobile Payments App,,Mumbai,Sequoia Capital,Private Equity,"6,000,000",Series A
